dataset,arch,config,epoch_n,test_acc_none_mean,test_acc_none_std,test_acc_none_count,test_acc_hidden_mean,test_acc_hidden_std,test_acc_hidden_count
mnist,shallow,drop,200,0.9869571428571428,0.0007976154939508732,7,0.8185714285714285,0.031900873252713846,7
mnist,shallow,ln,10,0.9808857142857142,0.0012889641466807924,7,0.8317142857142857,0.032467184898572504,7
mnist,shallow,ln,25,0.9828142857142856,0.0016035674514745541,7,0.8493571428571428,0.016976832953847925,7
mnist,shallow,ln,50,0.9855142857142857,0.0012575486358103775,7,0.8291857142857142,0.02245725039353875,7
mnist,shallow,ln,75,0.9855285714285714,0.0010688222267434895,7,0.8364857142857144,0.024300715255003574,7
mnist,shallow,ln,100,0.9860571428571429,0.000834380294704129,7,0.8293,0.021352751579129095,7
mnist,shallow,ln,150,0.9873571428571429,0.0009324826054805269,7,0.8326571428571429,0.017096184481033276,7
mnist,shallow,ln,200,0.9871857142857143,0.0010431180365112985,7,0.8308,0.030548104141937638,7
mnist,shallow,ln_drop,10,0.9792,0.0013329166015421327,7,0.8281999999999999,0.009100366292994279,7
mnist,shallow,ln_drop,25,0.9833857142857143,0.0010383136511166418,7,0.8442142857142858,0.013925447757185225,7
mnist,shallow,ln_drop,50,0.9854571428571429,0.00038234863173612627,7,0.8297571428571429,0.021395627056547267,7
mnist,shallow,ln_drop,75,0.9859857142857144,0.0006743603671345931,7,0.8369285714285715,0.010446644482913204,7
mnist,shallow,ln_drop,100,0.9860428571428572,0.000682781426366053,7,0.8069428571428572,0.02647532543979124,7
mnist,shallow,ln_drop,150,0.9866714285714285,0.0005056820005836286,7,0.7840714285714286,0.02646278608950776,7
mnist,shallow,ln_drop,200,0.9870428571428571,0.0009306935457982066,7,0.7883714285714286,0.027412631777200474,7
mnist,shallow,plain,10,0.9795875,0.0023582302686548716,8,0.7570375,0.029009256527627765,8
mnist,shallow,plain,25,0.98245,0.0007289914755527083,8,0.7568625,0.03642961658164574,8
mnist,shallow,plain,50,0.9839,0.0004898979485566286,8,0.768275,0.03869299493632998,8
mnist,shallow,plain,75,0.9843125,0.0007337525857827311,8,0.7700125,0.034995201201634164,8
mnist,shallow,plain,100,0.98495,0.0008750510189207665,8,0.7853375,0.04402872236230735,8
mnist,shallow,plain,150,0.9863625,0.0006885543862739867,8,0.7759375000000001,0.03170186734022371,8
mnist,shallow,plain,200,0.9871125000000001,0.0003870677312453568,8,0.7890375000000001,0.02022685184882424,8
